,+/-,3P,3P%,3PA,AST,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,MP,ORB,Opp,PF,PTS,Rk,STL,TOV,TRB,Unnamed: 5,Unnamed: 7,player
51,,,,,,,,2/3/18,,,,,,,,Did Not Dress,,,,SAS,,,52,,,,@,W (+9),donovan mitchell
52,10.0,0.0,0.0,2.0,3.0,0.0,0.0,2/5/18,1.0,0.16699999999999998,6.0,0.0,,0.0,50.0,1,-1.7,19:21,0.0,NOP,0.0,2.0,53,1.0,3.0,0.0,@,W (+24),donovan mitchell
53,-4.0,1.0,0.33299999999999996,3.0,1.0,1.0,1.0,2/7/18,4.0,0.33299999999999996,12.0,0.0,,0.0,51.0,1,1.1,31:14:00,2.0,MEM,3.0,9.0,54,0.0,3.0,3.0,@,W (+4),donovan mitchell
54,14.0,3.0,0.3,10.0,4.0,1.0,5.0,2/9/18,8.0,0.381,21.0,6.0,0.857,7.0,52.0,1,16.0,38:57:00,1.0,CHO,2.0,25.0,55,0.0,2.0,6.0,,W (+12),donovan mitchell
55,8.0,2.0,0.4,5.0,2.0,0.0,1.0,2/11/18,10.0,0.41700000000000004,24.0,5.0,1.0,5.0,53.0,1,16.6,36:50:00,5.0,POR,2.0,27.0,56,1.0,3.0,6.0,@,W (+19),donovan mitchell
56,6.0,3.0,0.33299999999999996,9.0,5.0,0.0,7.0,2/12/18,9.0,0.321,28.0,4.0,0.667,6.0,54.0,1,14.2,38:01:00,0.0,SAS,4.0,25.0,57,3.0,1.0,7.0,,W (+2),donovan mitchell
57,14.0,4.0,0.364,11.0,7.0,0.0,2.0,2/14/18,10.0,0.41700000000000004,24.0,0.0,,0.0,55.0,1,15.1,38:28:00,2.0,PHO,0.0,24.0,58,0.0,3.0,4.0,,W (+10),donovan mitchell
58,-12.0,4.0,0.4,10.0,1.0,0.0,2.0,2/23/18,8.0,0.4,20.0,1.0,1.0,1.0,56.0,1,10.8,36:17:00,1.0,POR,1.0,21.0,59,1.0,2.0,3.0,,L (-19),donovan mitchell
59,16.0,4.0,0.5,8.0,5.0,0.0,6.0,2/24/18,8.0,0.4,20.0,5.0,0.833,6.0,57.0,1,18.3,36:41:00,0.0,DAL,2.0,25.0,60,2.0,2.0,6.0,,W (+7),donovan mitchell
60,-7.0,1.0,0.111,9.0,4.0,0.0,1.0,2/26/18,6.0,0.4,15.0,3.0,0.75,4.0,58.0,1,5.1,36:41:00,1.0,HOU,3.0,16.0,61,3.0,8.0,2.0,,L (-11),donovan mitchell
